user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_001,images/sample/case_001/img_1.jpg,"Customer: Hi, I found new damage on my car after it was parked outside overnight. | Support: Sorry to hear that. Can you describe what changed? | Customer: The back of the car has a dent now. It was not there before. | Support: Did anything else break or is it mostly body damage? | Customer: Mostly the rear bumper area. I attached the photo I took this morning.",car,false,The image does not clearly show the claimed dent on the rear bumper area as described by the customer. The image shows severe damage to the rear bumper and trunk.,cropped_or_obstructed;damage_not_visible;manual_review_required;user_history_risk,unknown,unknown,not_enough_information,"The provided image shows extensive damage to the rear of the car, not just a dent on the rear bumper area.",none,false,unknown
user_002,images/sample/case_002/img_1.jpg;images/sample/case_002/img_2.jpg,"Customer: Parking lot mein meri car ko scrape lag gaya. | Support: Aap kis type ka damage report karna chahte hain? | Customer: Front side par mark aa gaya hai, bumper ke upar. | Support: Light damage hai ya body par scratch? | Customer: Light theek hai, front bumper par scratch hai. Photos upload kar diye hain.",car,false,"The claimed damage to the front bumper is visible in img_1, but the image does not clearly match the user's vehicle; img_2 shows a different vehicle.",cropped_or_obstructed;wrong_object;manual_review_required,scratch,front_bumper,not_enough_information,The images do not provide a clear match to the claimed vehicle and damage.,none,false,unknown
user_004,images/sample/case_003/img_1.jpg;images/sample/case_003/img_2.jpg,"Customer: I am opening a claim for my windshield. | Support: What happened? | Customer: A small stone hit it while I was driving and now there is a crack spreading from that spot. | Support: Is the car otherwise okay? | Customer: Yes, this is only about the front glass. I added the pictures I have.",car,true,The image clearly shows the claimed damage to the windshield.,none,glass_shatter,windshield,supported,"The image shows a cracked windshield, supporting the claim of damage.",img_1,true,high
user_007,images/sample/case_004/img_1.jpg,"Customer: Someone clipped my car while it was parked. | Support: What part was hit? | Customer: The side mirror got damaged. It is not sitting the way it should anymore. | Support: Was there any damage to the door too? | Customer: I did not notice anything else major, just the mirror.",car,true,The side mirror of the car is clearly visible and shows significant damage.,none,glass_shatter,side_mirror,supported,"The image shows a shattered side mirror glass, supporting the claim of damage to the side mirror.",img_1,true,medium
user_005,images/sample/case_005/img_1.jpg;images/sample/case_005/img_2.jpg,"Customer: I want to file this as bumper damage. | Support: Can you tell me what happened? | Customer: The car was tapped from behind and now the back looks damaged. | Support: Are you asking for review of the rear side? | Customer: Yes, the back bumper. It looks pretty bad to me, so I uploaded both photos.",car,true,"The claimed object, a silver car, and the relevant part, the rear bumper, are visible clearly enough to inspect the claimed condition.",user_history_risk;manual_review_required,dent,rear_bumper,supported,"The image shows a noticeable dent on the rear bumper of the car, supporting the claim of bumper damage.",img_1,true,medium
user_006,images/sample/case_006/img_1.jpg,"Customer: Hi, I am not fully sure how to explain this because I noticed it only after reaching home. | Support: No problem, please tell me what happened. | Customer: There was a small bump earlier, nothing major, and I first thought everything was fine. Later I looked at the car again because my family member said the front area looked different. | Support: Are you reporting a general vehicle issue or a specific damaged part? | Customer: I was confused at first because I checked the side and the front and walked around the car a few times. I do not want to claim the wrong thing. | Support: That is okay. What part do you want reviewed? | Customer: After checking again, I think the issue is with the headlight. It looks like the headlight may be cracked, so please review that part.",car,false,The image does not show the claimed headlight area of the car.,cropped_or_obstructed;damage_not_visible;manual_review_required,unknown,unknown,not_enough_information,The image does not provide a clear view of the claimed damaged headlight.,none,false,unknown
user_003,images/sample/case_007/img_1.jpg;images/sample/case_007/img_2.jpg,"Customer: There is a dent along the side of my car. | Support: When did you notice it? | Customer: This morning, after the car had been parked near the gate. | Support: Is it near the front or back? | Customer: It is on the door panel area. I attached two photos from different distances.",car,false,The provided images do not clearly show the claimed damage on the car door.,blurry_image; cropped_or_obstructed; damage_not_visible; manual_review_required,unknown,door,not_enough_information,The images do not provide clear evidence of the claimed dent on the car door.,none,false,unknown
user_008,images/sample/case_008/img_1.jpg,"Customer: I picked up my car after service and noticed a mark on the hood. | Support: What kind of mark is it? | Customer: It looks like a scratch across the top panel. | Support: Do you think it happened during service? | Customer: Yes, that is why I am asking for review. The photo is attached.",car,false,"The image does not clearly show the hood of the car, which is the claimed object part.",cropped_or_obstructed;damage_not_visible;manual_review_required;user_history_risk,unknown,unknown,not_enough_information,"The image provided does not clearly show the hood of the car, making it impossible to verify the claimed scratch.",none,false,unknown
user_009,images/sample/case_009/img_1.jpg,"Customer: My laptop fell from the table yesterday. | Support: Is it turning on? | Customer: It turns on, but the display glass has a crack now. | Support: Are you reporting the screen only or the whole laptop? | Customer: The screen is the issue. I attached a photo of it open.",laptop,true,The image clearly shows a cracked laptop screen.,none,glass_shatter,screen,supported,"The image shows a severely cracked laptop screen, supporting the claim of screen damage.",img_1,true,high
user_010,images/sample/case_010/img_1.jpg;images/sample/case_010/img_2.jpg,"Customer: The laptop no longer opens smoothly. | Support: What seems to be wrong mechanically? | Customer: The hinge area has broken and the screen wobbles. | Support: Did this happen after a drop? | Customer: Yes, it slipped from the sofa. I uploaded photos from the outside and side.",laptop,true,The hinge area of the laptop is visible and shows damage.,user_history_risk;manual_review_required,broken_part,hinge,supported,The image shows a broken hinge on the laptop.,img_1,true,medium
